,YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
11,2016,2016,NE,Nebraska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,31.5,31.5,,,28.4,34.8,2201.0,,,,,"$15,000 - $24,999",,"(41.641040988001, -99.365720623)",PA,PA1,Q047,VALUE,31,Income,"$15,000 - $24,999",INC,INC1525
12,2019,2019,WV,West Virginia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,31.1,,~,Data not available because sample size is insufficient.,,,,,,,,,American Indian/Alaska Native,"(38.66551020200046, -80.71264013499967)",PA,PA1,Q045,VALUE,54,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
13,2022,2022,TN,Tennessee,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,44.1,44.1,,,37.0,51.4,323.0,,,,,"Less than $15,000",,"(35.68094058000048, -85.77449091399967)",OWS,OWS1,Q036,VALUE,47,Income,"Less than $15,000",INC,INCLESS15
14,2019,2019,VT,Vermont,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,37.9,37.9,,,29.6,46.9,197.0,,,Less than high school,,,,"(43.62538123900049, -72.51764079099962)",PA,PA1,Q046,VALUE,50,Education,Less than high school,EDU,EDUHS
15,2019,2019,TN,Tennessee,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,39.0,39.0,,,36.0,42.0,1748.0,,65 or older,,,,,"(35.68094058000048, -85.77449091399967)",PA,PA1,Q045,VALUE,47,Age (years),65 or older,AGEYR,AGEYR65PLUS
16,2021,2021,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.6,25.6,,,20.0,32.1,282.0,,,,,,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",PA,PA1,Q047,VALUE,4,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
17,2020,2020,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,44.3,44.3,,,38.8,50.0,791.0,,,,,"Less than $15,000",,"(41.6410409880005, -99.36572062299967)",OWS,OWS1,Q036,VALUE,31,Income,"Less than $15,000",INC,INCLESS15
18,2022,2022,WI,Wisconsin,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.3,30.3,,,27.2,33.6,1186.0,,35 - 44,,,,,"(44.39319117400049, -89.81637074199966)",OWS,OWS1,Q037,VALUE,55,Age (years),35 - 44,AGEYR,AGEYR3544
19,2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,29.3,29.3,,,24.0,35.4,545.0,,,,,"$25,000 - $34,999",,"(41.56266102, -72.649840952)",PA,PA1,Q046,VALUE,9,Income,"$25,000 - $34,999",INC,INC2535
20,2017,2017,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.7,32.7,,,30.5,35.0,2945.0,,,,Male,,,"(40.793730152, -77.860700294)",OWS,OWS1,Q036,VALUE,42,Gender,Male,GEN,MALE
21,2019,2019,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,38.7,38.7,,,37.8,39.5,38468.0,,25 - 34,,,,,,PA,PA1,Q046,VALUE,59,Age (years),25 - 34,AGEYR,AGEYR2534
22,2014,2014,ND,North Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.6,36.6,,,34.8,38.4,7269.0,Total,,,,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q037,VALUE,38,Total,Total,OVR,OVERALL
23,2019,2019,MI,Michigan,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,16.9,16.9,,,15.4,18.4,3808.0,,,College graduate,,,,"(44.6613195430005, -84.71439026999968)",FV,FV1,Q019,VALUE,26,Education,College graduate,EDU,EDUCOGRAD
24,2022,2022,IL,Illinois,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.2,32.2,,,28.5,36.2,835.0,,,High school graduate,,,,"(40.48501028300046, -88.99771017799969)",OWS,OWS1,Q037,VALUE,17,Education,High school graduate,EDU,EDUHSGRAD
25,2019,2019,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,31.3,31.3,,,27.3,35.7,735.0,,,,,"$35,000 - $49,999",,"(35.47203135600046, -97.52107021399968)",PA,PA1,Q047,VALUE,40,Income,"$35,000 - $49,999",INC,INC3550
26,2019,2019,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,49.8,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(43.682630005000476, -114.3637300419997)",PA,PA1,Q043,VALUE,16,Race/Ethnicity,Asian,RACE,RACEASN
27,2020,2020,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,29.6,29.6,,,14.5,51.1,50.0,,,,,,Other,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q037,VALUE,50,Race/Ethnicity,Other,RACE,RACEOTH
28,2020,2020,IA,Iowa,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,41.0,41.0,,,37.9,44.1,1382.0,,,,,"$50,000 - $74,999",,"(42.46940091300047, -93.81649055599968)",OWS,OWS1,Q036,VALUE,19,Income,"$50,000 - $74,999",INC,INC5075
29,2015,2015,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,17.8,17.8,,,9.3,31.5,53.0,,,,,,2 or more races,"(47.475319779, -100.118421049)",PA,PA1,Q047,VALUE,38,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
30,2021,2021,AR,Arkansas,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,42.5,42.5,,,38.8,46.1,1536.0,,,,,Data not reported,,"(34.74865012400045, -92.27449074299966)",FV,FV1,Q018,VALUE,5,Income,Data not reported,INC,INCNR
